time_step,action,price,soc,reward,cumulative_reward
107,IDLE,86.47,0.8,0.0,269.5354714533877
108,IDLE,85.41,0.8,0.0,269.5354714533877
109,IDLE,87.18,0.8,0.0,269.5354714533877
110,IDLE,100.03,0.8,0.0,269.5354714533877
111,IDLE,91.49,0.8,0.0,269.5354714533877
112,IDLE,100.06,0.8,0.0,269.5354714533877
113,DISCHARGE,108.14,0.8,61.55436711070955,331.08983856409725
114,IDLE,99.11,0.2,0.0,331.08983856409725
115,IDLE,99.67,0.2,0.0,331.08983856409725
116,IDLE,89.87,0.2,0.0,331.08983856409725
117,CHARGE,89.19,0.2,-56.40870890208356,274.6811296620137
118,DISCHARGE,102.88,0.8,58.560322622062124,333.2414522840758
119,CHARGE,83.37,0.2,-52.727817705647574,280.51363457842825
120,DISCHARGE,95.94,0.8,54.610005368979785,335.12363994740804
121,IDLE,90.28,0.2,0.0,335.12363994740804
122,IDLE,87.87,0.2,0.0,335.12363994740804
123,IDLE,88.12,0.2,0.0,335.12363994740804
124,IDLE,86.95,0.2,0.0,335.12363994740804
125,IDLE,87.62,0.2,0.0,335.12363994740804
126,CHARGE,85.24,0.2,-53.910509550550536,281.2131303968575
127,IDLE,90.65,0.8,0.0,281.2131303968575
128,IDLE,89.4,0.8,0.0,281.2131303968575
129,IDLE,87.0,0.8,0.0,281.2131303968575
130,IDLE,85.82,0.8,0.0,281.2131303968575
131,IDLE,96.62,0.8,0.0,281.2131303968575
132,IDLE,97.67,0.8,0.0,281.2131303968575
133,IDLE,95.68,0.8,0.0,281.2131303968575
134,DISCHARGE,107.81,0.8,61.36652781769554,342.57965821455304
135,CHARGE,90.57,0.2,-57.28149753629003,285.298160678263
136,IDLE,98.41,0.8,0.0,285.298160678263
137,IDLE,116.49,0.8,0.0,285.298160678263
138,IDLE,118.46,0.8,0.0,285.298160678263
139,DISCHARGE,118.49,0.8,67.44569039160324,352.74385106986625
140,IDLE,104.16,0.2,0.0,352.74385106986625
141,IDLE,102.52,0.2,0.0,352.74385106986625
142,IDLE,91.53,0.2,0.0,352.74385106986625
143,CHARGE,86.2,0.2,-54.51766686130287,298.2261842085634
144,DISCHARGE,97.42,0.8,55.45243613764864,353.678620346212
145,IDLE,85.23,0.2,0.0,353.678620346212
146,IDLE,83.78,0.2,0.0,353.678620346212
147,IDLE,86.75,0.2,0.0,353.678620346212
148,CHARGE,77.98,0.2,-49.31888238798606,304.359737958226
149,IDLE,84.19,0.8,0.0,304.359737958226
150,IDLE,82.56,0.8,0.0,304.359737958226
151,IDLE,80.26,0.8,0.0,304.359737958226
152,IDLE,82.51,0.8,0.0,304.359737958226
153,IDLE,93.94,0.8,0.0,304.359737958226
154,IDLE,95.71,0.8,0.0,304.359737958226
155,IDLE,112.45,0.8,0.0,304.359737958226
156,IDLE,104.93,0.8,0.0,304.359737958226
157,IDLE,112.23,0.8,0.0,304.359737958226
158,IDLE,120.91,0.8,0.0,304.359737958226
159,IDLE,115.9,0.8,0.0,304.359737958226
160,DISCHARGE,127.12,0.8,72.3579725089088,376.7177104671348
161,IDLE,118.07,0.2,0.0,376.7177104671348
162,IDLE,104.97,0.2,0.0,376.7177104671348
163,IDLE,91.49,0.2,0.0,376.7177104671348
164,CHARGE,86.58,0.2,-54.75799996347567,321.95971050365915
165,IDLE,90.68,0.8,0.0,321.95971050365915
166,DISCHARGE,99.86,0.8,56.841308485994595,378.80101898965376
167,IDLE,81.32,0.2,0.0,378.80101898965376
168,IDLE,62.75,0.2,0.0,378.80101898965376
169,IDLE,68.87,0.2,0.0,378.80101898965376
170,IDLE,61.31,0.2,0.0,378.80101898965376
171,CHARGE,52.51,0.2,-33.21023998708832,345.59077900256545
172,IDLE,60.23,0.8,0.0,345.59077900256545
173,IDLE,74.49,0.8,0.0,345.59077900256545
174,IDLE,82.83,0.8,0.0,345.59077900256545
175,IDLE,92.23,0.8,0.0,345.59077900256545
176,IDLE,107.35,0.8,0.0,345.59077900256545
177,IDLE,105.16,0.8,0.0,345.59077900256545
178,IDLE,105.01,0.8,0.0,345.59077900256545
179,DISCHARGE,107.8,0.8,61.360835717907236,406.95161472047266
180,IDLE,107.11,0.2,0.0,406.95161472047266
181,IDLE,99.35,0.2,0.0,406.95161472047266
182,IDLE,87.37,0.2,0.0,406.95161472047266
183,IDLE,89.06,0.2,0.0,406.95161472047266
184,CHARGE,84.68,0.2,-53.55633445261169,353.395280267861
185,IDLE,102.69,0.8,0.0,353.395280267861
186,DISCHARGE,111.1,0.8,63.23922864804726,416.6345089159082
187,IDLE,91.5,0.2,0.0,416.6345089159082
188,CHARGE,88.6,0.2,-56.03556013818369,360.5989487777245
189,DISCHARGE,98.59,0.8,56.118411812880105,416.7173605906046
190,IDLE,93.48,0.2,0.0,416.7173605906046
191,IDLE,84.58,0.2,0.0,416.7173605906046
192,IDLE,88.28,0.2,0.0,416.7173605906046
193,IDLE,79.37,0.2,0.0,416.7173605906046
194,IDLE,81.74,0.2,0.0,416.7173605906046
195,IDLE,79.58,0.2,0.0,416.7173605906046
196,IDLE,81.18,0.2,0.0,416.7173605906046
197,CHARGE,68.76,0.2,-43.48764238263556,373.22971820796903
198,IDLE,94.72,0.8,0.0,373.22971820796903
199,IDLE,102.74,0.8,0.0,373.22971820796903
200,IDLE,118.91,0.8,0.0,373.22971820796903
201,IDLE,139.78,0.8,0.0,373.22971820796903
202,DISCHARGE,168.76,0.8,96.05987602740284,469.28959423537185
203,IDLE,144.11,0.2,0.0,469.28959423537185
204,CHARGE,94.83,0.2,-59.975758102753495,409.31383613261835
205,IDLE,104.0,0.8,0.0,409.31383613261835
206,IDLE,107.15,0.8,0.0,409.31383613261835
207,IDLE,128.46,0.8,0.0,409.31383613261835
208,DISCHARGE,136.08,0.8,77.45809391922838,486.7719300518467
209,IDLE,129.16,0.2,0.0,486.7719300518467
210,IDLE,131.95,0.2,0.0,486.7719300518467
211,IDLE,125.01,0.2,0.0,486.7719300518467
212,IDLE,122.54,0.2,0.0,486.7719300518467
213,IDLE,114.69,0.2,0.0,486.7719300518467
